time_jst,ssr,station,squawk,pressure_alt_ft,lat,lon,alt_m,azimuth_rad,tau_ns,replies,sigma_e_m,sigma_n_m,sigma_u_m,track,flight,status,sm_lat,sm_lon,sm_alt_m,sm_sigma_e_m,sm_sigma_n_m,sm_sigma_u_m,vel_e_mps,vel_n_mps,vel_u_mps,turn_rate_dps
2026-06-10T00:00:17.097878100,KX90S,KX90,3245,34000,35.1969013,136.3506434,10363.200,5.444886786,389585,20,139.1,152.9,8.8,2,2,ok,35.1976290,136.3514750,10363.146,61.9,62.3,4.4,82.1,-171.1,1.59,0.20
2026-06-10T00:00:17.298465150,KX90S,KX90,4302,39000,36.0298040,135.9757175,11887.200,5.756961584,1014860,5,4636.1,2693.2,8.8,12,12,ok,36.0515490,136.0213214,11888.168,997.9,548.9,5.8,-8.1,264.6,-5.71,-0.00
2026-06-10T00:00:19.060976400,KX90S,KX90,3534,7800,34.5122960,137.3621723,2377.440,2.215833331,422540,20,135.6,175.7,8.8,4,4,ok,34.5136577,137.3633871,2389.931,48.1,61.3,4.4,-110.2,77.0,-4.30,-0.00
2026-06-10T00:00:19.106698400,KX90S,KX90,6250,5200,34.6080685,137.1573176,1584.960,2.286966192,280355,20,99.9,111.8,8.8,5,5,ok,34.6080440,137.1573086,1595.697,44.8,53.9,4.4,-119.8,62.7,-3.72,-0.07
2026-06-10T00:00:19.617015500,KX90S,KX90,7016,20200,34.2253571,136.8666791,6156.960,3.080900704,471667,3,2940.0,184.5,8.8,7,7,ok,34.2243522,136.8466799,6146.690,941.6,47.5,5.3,110.7,-154.5,14.44,-0.00
2026-06-10T00:00:19.758606350,KX90S,KX90,3650,2600,34.8042737,136.8119020,792.480,3.301183110,40756,9,108.9,49.3,8.8,13,13,echo,34.8039892,136.8110421,796.989,101.9,44.3,7.9,36.1,-25.3,11.59,-0.00
2026-06-10T00:00:20.388390700,KX90S,KX90,6141,32000,34.7691794,136.6071296,9753.600,4.280980904,159500,24,55.7,71.6,8.8,8,8,ok,34.7689229,136.6071961,9753.532,28.7,30.9,4.4,76.5,-197.5,-0.04,-0.04
2026-06-10T00:00:20.686321500,KX90S,KX90,3650,2700,34.8523262,136.7544168,822.960,4.744491804,41016,19,46.6,21.3,8.8,9,9,ambiguous,34.8522885,136.7543275,811.231,24.0,12.0,4.4,-33.1,-86.1,10.83,-2.88
2026-06-10T00:00:21.134692550,KX90S,KX90,3245,34000,35.1915704,136.3552690,10363.200,5.442050937,384937,19,137.1,151.5,8.8,2,2,ok,35.1913652,136.3550360,10363.147,59.8,61.5,4.4,79.7,-172.6,1.56,0.23
2026-06-10T00:00:23.099265650,KX90S,KX90,3534,7800,34.5156548,137.3578758,2377.440,2.214898350,418942,19,134.4,174.3,8.8,4,4,ok,34.5163101,137.3583997,2367.203,46.4,59.0,4.4,-112.5,74.1,-4.53,-0.00
2026-06-10T00:00:23.146462600,KX90S,KX90,6250,5200,34.6108293,137.1526046,1584.960,2.288316463,276842,19,98.9,110.4,8.8,5,5,ok,34.6102293,137.1519429,1578.583,44.2,51.4,4.4,-119.6,62.4,-3.37,0.10
2026-06-10T00:00:23.214308200,KX90S,KX90,3240,23100,34.1022162,137.6520994,7040.880,2.393855002,761567,3,3506.2,3251.6,8.8,14,14,ok,34.0831343,137.6269441,7048.113,1022.7,916.3,7.3,31.8,-214.2,0.54,-0.00
2026-06-10T00:00:23.686277750,KX90S,KX90,7016,20300,34.2184110,136.8312564,6187.440,3.128036141,475867,6,2228.8,55.0,8.8,7,7,ok,34.2186040,136.8493265,6204.458,1200.1,49.0,7.3,98.5,-155.1,13.20,-0.00
2026-06-10T00:00:23.793945750,KX90S,KX90,3650,2800,34.8029501,136.8119790,853.440,3.295521213,41775,8,130.7,50.4,8.8,13,13,echo,34.8030778,136.8126397,843.653,88.6,29.5,5.2,36.4,-24.7,11.47,-2.10
2026-06-10T00:00:24.401606500,KX90S,KX90,6141,32000,34.7618481,136.6105353,9753.600,4.240779429,160110,20,56.6,71.1,8.8,8,8,ok,34.7617919,136.6105786,9753.549,28.8,30.7,4.4,77.6,-198.5,-0.07,-0.04
2026-06-10T00:00:24.687738050,KX90S,KX90,3650,2800,34.8490841,136.7532206,853.440,4.685876744,41952,21,46.6,21.7,8.8,9,9,ambiguous,34.8490811,136.7533237,854.252,23.6,12.1,4.4,-14.4,-91.2,10.90,-2.74
2026-06-10T00:00:25.172981700,KX90S,KX90,3245,34000,35.1868749,136.3604808,10363.200,5.440713983,380337,19,135.3,149.9,8.8,2,2,ok,35.1850595,136.3585257,10363.162,57.9,60.8,4.4,76.9,-174.8,1.54,0.21
2026-06-10T00:00:25.323422000,KX90S,KX90,6152,30000,35.8652884,135.9501906,9144.000,5.674842710,919567,3,4788.8,3335.4,8.8,15,15,unconfirmed,,,,,,,,,,
2026-06-10T00:00:25.587429950,KX90S,KX90,3650,2800,34.9060147,136.8074782,853.440,6.085743609,42000,8,152.1,54.8,8.8,1,1,ambiguous,34.9056050,136.8052111,860.125,117.8,48.6,6.7,90.6,54.1,12.13,2.68
2026-06-10T00:00:27.131655250,KX90S,KX90,3534,7700,34.5225892,137.3566517,2346.960,2.205984232,415247,15,131.9,173.9,8.8,4,4,ok,34.5189318,137.3534025,2341.429,46.7,59.2,4.4,-113.8,72.5,-5.11,-0.00
2026-06-10T00:00:27.189176500,KX90S,KX90,6250,5100,34.6120948,137.1461280,1554.480,2.295510126,273248,21,98.4,108.5,8.8,5,5,ok,34.6125628,137.1467199,1562.795,43.1,49.6,4.4,-118.9,63.1,-3.15,0.08
2026-06-10T00:00:27.286520200,KX90S,KX90,3240,23200,34.0615805,137.6081732,7071.360,2.447015485,766600,3,3698.7,3081.3,8.8,14,14,ok,34.0752708,137.6282714,7063.321,1104.2,952.7,5.8,31.9,-214.2,0.38,-0.00
2026-06-10T00:00:27.805686700,KX90S,KX90,3650,2900,34.8019977,136.8142276,883.920,3.255044070,42433,3,228.4,53.2,8.8,13,13,echo,34.8022165,136.8143686,889.403,165.4,45.1,7.7,42.5,-22.9,11.36,-2.12
2026-06-10T00:00:28.413347500,KX90S,KX90,6141,32000,34.7544979,136.6139579,9753.600,4.200804798,160930,20,57.6,70.7,8.8,8,8,ok,34.7546136,136.6140195,9753.564,29.2,30.4,4.4,78.4,-198.7,-0.10,-0.02
2026-06-10T00:00:28.687679800,KX90S,KX90,3650,2900,34.8458044,136.7528672,883.920,4.627774447,42529,21,46.6,22.1,8.8,9,9,ambiguous,34.8457587,136.7531341,899.474,23.4,12.2,4.3,4.3,-92.7,11.45,-2.49
2026-06-10T00:00:29.203896400,KX90S,KX90,3245,34000,35.1791545,136.3623772,10363.200,5.431210177,375783,18,132.5,149.2,8.8,2,2,ok,35.1786808,136.3619118,10363.175,56.3,59.4,4.4,74.8,-177.7,1.51,0.15
2026-06-10T00:00:29.428081950,KX90S,KX90,4302,39000,36.0681986,135.9937864,11887.200,5.780076101,1034044,9,2869.5,1579.7,8.8,12,12,ok,36.0804802,136.0198994,11887.615,1481.5,792.9,6.3,-9.0,266.4,-5.88,-0.00
